client_3 ; produit_0
client_9 ; produit_11
client_7 ; produit_0
client_6 ; produit_8
client_0 ; produit_5
client_3 ; produit_9
client_4 ; produit_3
client_3 ; produit_7
client_9 ; produit_8
client_4 ; produit_9
client_6 ; produit_1
client_1 ; produit_3
client_3 ; produit_8
client_9 ; produit_6
client_7 ; produit_4
client_5 ; produit_2
client_4 ; produit_11
client_1 ; produit_8
client_1 ; produit_7
client_1 ; produit_7
client_7 ; produit_10
client_0 ; produit_8
client_5 ; produit_7
client_4 ; produit_1
client_6 ; produit_5
client_4 ; produit_9
client_8 ; produit_7
client_1 ; produit_7
client_2 ; produit_7
client_7 ; produit_8
client_8 ; produit_6
client_2 ; produit_7
client_7 ; produit_5
client_3 ; produit_5
client_1 ; produit_8
client_8 ; produit_3
client_4 ; produit_6
client_6 ; produit_6
client_1 ; produit_5
client_5 ; produit_1
client_9 ; produit_4
client_3 ; produit_8
client_4 ; produit_5
client_6 ; produit_0
client_2 ; produit_1
client_2 ; produit_1
client_2 ; produit_9
client_9 ; produit_9
client_0 ; produit_10
client_2 ; produit_7
client_5 ; produit_1
client_7 ; produit_2
client_8 ; produit_7
client_3 ; produit_8
client_8 ; produit_7
client_2 ; produit_3
client_9 ; produit_6
client_3 ; produit_7
client_1 ; produit_4
client_1 ; produit_10
client_7 ; produit_6
client_4 ; produit_3
client_0 ; produit_5
client_6 ; produit_7
client_4 ; produit_10
client_9 ; produit_5
client_7 ; produit_5
client_7 ; produit_3
client_2 ; produit_8
client_1 ; produit_1
client_8 ; produit_3
client_9 ; produit_7
client_0 ; produit_10
client_9 ; produit_0
client_8 ; produit_5
client_7 ; produit_9
client_3 ; produit_5
client_3 ; produit_9
client_0 ; produit_8
client_9 ; produit_5
client_8 ; produit_3
client_4 ; produit_1
client_4 ; produit_3
client_9 ; produit_6
client_4 ; produit_6
client_7 ; produit_7
client_7 ; produit_0
client_9 ; produit_1
client_8 ; produit_7
client_5 ; produit_9
client_7 ; produit_5
client_8 ; produit_6
client_7 ; produit_6
client_7 ; produit_3
client_1 ; produit_9
client_3 ; produit_10
client_5 ; produit_8
client_9 ; produit_8
client_9 ; produit_6
client_0 ; produit_3
